date,fecha,oecd,per_enc,per_ra,td,msr,cot,var_mens,var_feb,sal_prom,inpc,def,msr_val,ir,tdo_infor,mujeres_enc,hombres_enc,pea_ocupada,sc_agri,sc_min,sc_manu,sc_elect,sc_agua,sc_constr,sc_comer,sc_trans,sc_aloj,sc_inf,sc_fin,sc_inmob,sc_prof,sc_serva,sc_ap,sc_ense,sc_sal,sc_ent,sc_otr,sc_org,sc_otras
2018/01/01,2018-Ene,CHL,,,6.8,,5287371,,,764081,,,,93,28.2,3716963,5076960,8793923,,,,,,,,,,,,,,,,,,,,,
2018/02/01,2018-Feb,CHL,,,7.0,,5328742,41371,,763883,,,,93,28.2,3686707,5100373,8787080,,,,,,,,,,,,,,,,,,,,,
2018/03/01,2018-Mar,CHL,,,7.4,,5334490,5748,,794025,,,,93,27.9,3669749,5089332,8759081,,,,,,,,,,,,,,,,,,,,,
2018/04/01,2018-Abr,CHL,,,7.0,,5289791,-44699,,781515,,,,93,27.8,3679826,5101258,8781084,,,,,,,,,,,,,,,,,,,,,
2018/05/01,2018-May,CHL,,,7.4,,5208251,-81540,,778484,,,,93,27.6,3675261,5091390,8766651,,,,,,,,,,,,,,,,,,,,,
2018/06/01,2018-Jun,CHL,,,7.5,,5238448,30197,,785862,,,,93,27.4,3666625,5088923,8755549,,,,,,,,,,,,,,,,,,,,,
2018/07/01,2018-Jul,CHL,,,7.9,,5263614,25166,,782973,,,,93,27.3,3639088,5069650,8708738,,,,,,,,,,,,,,,,,,,,,
2018/08/01,2018-Ago,CHL,,,7.7,,5240149,-23465,,781481,,,,93,27.2,3645893,5061301,8707194,,,,,,,,,,,,,,,,,,,,,
2018/09/01,2018-Sept,CHL,,,7.5,,5257671,17522,,837520,,,,94,27.3,3652618,5058289,8710908,,,,,,,,,,,,,,,,,,,,,
2018/10/01,2018-Oct,CHL,,,7.4,,5336720,79049,,792766,,,,93,28.1,3702986,5070851,8773836,,,,,,,,,,,,,,,,,,,,,
2018/11/01,2018-Nov,CHL,,,7.3,,5428534,91814,,797918,,,,94,28.7,3745189,5083802,8828991,,,,,,,,,,,,,,,,,,,,,
2018/12/01,2018-Dic,CHL,,,7.1,,5521265,92731,,858930,,,,94,28.4,3777950,5136299,8914248,,,,,,,,,,,,,,,,,,,,,
2019/01/01,2019-Ene,CHL,,,7.1,,5451727,-69538,,801589,101,1,4541809910839,95,27.9,3771335,5156616,8927952,,,,,,,,,,,,,,,,,,,,,
2019/02/01,2019-Feb,CHL,,,7.0,0,5486090,34363,,796026,101,1,4536917639101,95,27.2,3726825,5180812,8907637,,,,,,,,,,,,,,,,,,,,,
2019/03/01,2019-Mar,CHL,,,7.2,3,5465393,-20697,,830370,101,1,4692458022477,95,27.3,3714742,5164368,8879110,,,,,,,,,,,,,,,,,,,,,
2019/04/01,2019-Abr,CHL,,,7.1,-2,5438449,-26944,,822359,102,1,4611981010986,96,27.3,3745483,5170534,8916017,,,,,,,,,,,,,,,,,,,,,
2019/05/01,2019-May,CHL,,,7.2,-3,5355238,-83211,,816784,102,1,4483692158051,95,27.4,3781866,5143409,8925275,,,,,,,,,,,,,,,,,,,,,
2019/06/01,2019-Jun,CHL,,,7.3,2,5397214,41976,,831013,102,1,4595309000174,95,27.6,3802826,5119782,8922608,,,,,,,,,,,,,,,,,,,,,
2019/07/01,2019-Jul,CHL,,,7.5,0,5449761,52547,,827504,102,1,4610080885184,95,27.5,3798275,5112283,8910558,,,,,,,,,,,,,,,,,,,,,
2019/08/01,2019-Ago,CHL,,,7.6,-1,5443478,-6283,,823479,103,1,4573884038669,95,27.6,3809263,5118786,8928049,,,,,,,,,,,,,,,,,,,,,
2019/09/01,2019-Sept,CHL,,,7.3,6,5411920,-31558,,877777,103,1,4846736350109,96,27.4,3832317,5167774,9000091,,,,,,,,,,,,,,,,,,,,,
2019/10/01,2019-Oct,CHL,,,7.1,-5,5455756,43836,,832394,103,1,4595762642344,95,27.9,3812313,5182047,8994360,,,,,,,,,,,,,,,,,,,,,
2019/11/01,2019-Nov,CHL,,,7.0,2,5532353,76597,,838718,104,1,4692063739160,95,28.2,3828453,5216910,9045363,,,,,,,,,,,,,,,,,,,,,
2019/12/01,2019-Dic,CHL,,,7.1,9,5626747,94394,,903778,104,1,5136840826007,96,28.4,3852866,5234266,9087132,,,,,,,,,,,,,,,,,,,,,
2020/01/01,2020-Ene,CHL,,,7.4,-9,5502144,-124603,,849733,104,1,4696433681197,96,28.5,3879679,5238502,9118181,,,,,,,,,,,,,,,,,,,,,
2020/02/01,2020-Feb,CHL,,,7.8,0,5524871,22727,,846970,105,1,4679399990870,96,28.8,3837644,5225730,9063374,,,,,,,,,,,,,,,,,,,,,
2020/03/01,2020-Mar,CHL,-1,-1,8.2,2,5447164,-77707,-77707,877156,105,1,4762094972744,96,28.9,3744104,5198320,8942425,,,,,,,,,,,,,,,,,,,,,
2020/04/01,2020-Abr,CHL,-9,-6,9.0,,5184457,-262707,-340414,,105,1,,95,26.3,3395196,4840735,8235931,3575,1051,32229,809,574,59017,93697,21952,86733,4661,3500,3286,14463,23007,156,9703,10115,10820,13536,113,1530
2020/05/01,2020-May,CHL,-18,-8,11.2,,5061590,-122867,-463281,,,,,95,23.5,3032721,4417801,7450523,5656,1778,53479,976,795,110908,139047,30981,110723,7912,5211,5215,22611,34510,174,12528,13848,12892,19658,123,2819
2020/06/01,2020-Jun,CHL,-21,-8.05,12.2,,5080059,18469,-444812,,,,,95,22.3,2908385,4234003,7142388,6864,2117,61546,1073,881,134401,153892,34594,114967,8862,5964,6160,25502,38952,243,14003,14765,13406,22354,131,3442
2020/07/01,2020-Jul,CHL,-22,-7.98,13.1,,5084164,4105,-440707,,,,,96,22.3,2899259,4173934,7073193,7368,2315,64585,1129,952,142440,159763,36257,116780,9284,6344,6495,26924,41249,268,14614,15161,13607,23813,143,3648
2020/08/01,2020-Ago,CHL,-21,,12.9,,,,,,,,,96,22.6,2963138,4229072,7192210,7970,1923,69086,1161,993,156462,170467,38804,120449,9853,6727,7069,29092,45900,75,15718,15964,14099,23473,147,643
2020/09/01,2020-Sept,CHL,-19,,12.3,,,,,,,,,,23.5,3032261,4332794,7365055,8183,2040,70291,1164,1010,161359,174721,39458,121608,10016,6904,7335,30199,46821,78,16085,16132,14275,24047,150,880
2020/10/01,2020-Oct,CHL,,,,,,,,,,,,,,,,,7354,2144,71104,1187,986,164151,176682,40165,122448,10136,6998,7447,30645,47704,98,16374,16319,14388,24416,140,589
